Approach,Params,Selected_Features,Avg_n_features,Std_n_features,Avg_AUC,Std_AUC,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5
VarianceThreshold,{'threshold': 0.0},No feature selection,4519.0,0.0,0.8183556336765075,0.0069585765703087,0.8158697133837931,0.8208559027155002,0.8166050866305556,0.8086146285468307,0.8298328371058579
VarianceThreshold,{'threshold': 0.0},All Features,2456.0,0.0,0.8113301287799979,0.0097251786982225,0.8064981884707825,0.8227391756645263,0.8205420238906626,0.7960236036876278,0.8108476521863902
VarianceThreshold,{'threshold': 0.0},Fingerprints,2456.0,0.0,0.8174480754744053,0.0084613378656252,0.8052964809699752,0.8104171897980414,0.8257703483158159,0.8188381102701151,0.8269182480180794
VarianceThreshold,{'threshold': 0.1},No feature selection,4519.0,0.0,0.8235480862359651,0.0073774950577196,0.8305771783190443,0.8152598916669656,0.8253309179610432,0.8146052301180182,0.8319672131147541
VarianceThreshold,{'threshold': 0.1},All Features,530.18,0.5895761189193469,0.8211661943537683,0.004276498135801,0.8292588872547262,0.8196990350468127,0.8175467231050686,0.821420884600208,0.8179054417620261
VarianceThreshold,{'threshold': 0.1},Fingerprints,530.18,0.5895761189193469,0.820672956200452,0.0055816513516439,0.8297341894751946,0.814793557412921,0.8165961186641317,0.8177978261649388,0.8244430892850737
VarianceThreshold,{'threshold': 0.2},No feature selection,4519.0,0.0,0.8045270294508017,0.0063815923047202,0.7940506510743623,0.8126771173368728,0.8062560533773362,0.8013416077770205,0.808309717688417
VarianceThreshold,{'threshold': 0.2},All Features,303.58,0.6029925372672534,0.7958550059188578,0.0126439159838666,0.8026150590092191,0.8126860853032967,0.7867686623381283,0.7767155719768986,0.8004896509667467
VarianceThreshold,{'threshold': 0.2},Fingerprints,303.58,0.6029925372672534,0.7907199483445133,0.013924362058148,0.7850737166840047,0.8073322093482082,0.8073142734153602,0.77514617785271,0.7787333644222836
VarianceThreshold,{'threshold': 0.30000000000000004},No feature selection,4519.0,0.0,0.8274599131900849,0.0114079577342764,0.834280948452129,0.843482082003085,0.8100405352082363,0.8285773218065071,0.8209186784804676
VarianceThreshold,{'threshold': 0.30000000000000004},All Features,253.02,0.1399999999999999,0.8106108978727983,0.0096611808634549,0.825357821860315,0.8173314919108943,0.7991534239695807,0.8089733472037881,0.8022384044194139
VarianceThreshold,{'threshold': 0.30000000000000004},Fingerprints,253.02,0.1399999999999999,0.8036374071815476,0.0192967157611936,0.8324963231337662,0.811018043548445,0.7852889478781793,0.8101481508053234,0.7792355705420237
VarianceThreshold,{'threshold': 0.4},No feature selection,4519.0,0.0,0.8189008860350828,0.0130491510905083,0.825088782867597,0.8061215338809772,0.839814183735696,0.8043279405961904,0.8191519890949528
VarianceThreshold,{'threshold': 0.4},All Features,245.74,0.4386342439892261,0.8048104171897978,0.0080866623201855,0.8144527746888115,0.8098163360476378,0.8094934892563762,0.7948667360189403,0.7954227499372242
VarianceThreshold,{'threshold': 0.4},Fingerprints,245.74,0.4386342439892261,0.8076460881730458,0.0071428104551787,0.8077716397029809,0.8021845966208703,0.8212504932381532,0.8017810381317932,0.8052426731714317
VarianceThreshold,{'threshold': 0.5},No feature selection,4519.0,0.0,0.8183502528966532,0.0128657368093796,0.8224073609068407,0.8240215948631489,0.7959249560569644,0.8345858593105429,0.8148114933457689
VarianceThreshold,{'threshold': 0.5},All Features,241.98,0.1399999999999999,0.8046830720665783,0.0180979735916878,0.7859436094271263,0.8170355490189045,0.7822667431933135,0.8294920543817483,0.8086774043117984
VarianceThreshold,{'threshold': 0.5},Fingerprints,241.98,0.1399999999999999,0.8029666032930372,0.013808644412296,0.788562255622915,0.8156186103239229,0.7861767765541485,0.8203626645621839,0.804112709402016
VarianceThreshold,{'threshold': 0.6000000000000001},No feature selection,4519.0,0.0,0.8212594612045772,0.0093457191378111,0.8327474261936363,0.8080765505613946,0.817250780213079,0.8311331922373283,0.817089356817448
VarianceThreshold,{'threshold': 0.6000000000000001},All Features,234.8,0.4,0.7950963159593931,0.014123591754969,0.8073770491803278,0.7750026903899272,0.8118430964594469,0.7984539225885139,0.7828048211787495
VarianceThreshold,{'threshold': 0.6000000000000001},Fingerprints,234.8,0.4,0.794298166947663,0.0128115058849357,0.7980503640994367,0.7732001291387165,0.8125964056390573,0.7974405423826093,0.7902033934784949
VarianceThreshold,{'threshold': 0.7000000000000001},No feature selection,4519.0,0.0,0.8124188399038633,0.0109069134698154,0.8216988915593499,0.7980055242673171,0.8276805251641137,0.8102467984359866,0.8044624600925494
VarianceThreshold,{'threshold': 0.7000000000000001},All Features,231.88,0.6823488843692792,0.7982010259353589,0.0121726544837227,0.7973060228862503,0.7891003336083511,0.8189546938336264,0.8020052372923916,0.7836388420561753
VarianceThreshold,{'threshold': 0.7000000000000001},Fingerprints,231.88,0.6823488843692792,0.8016124403630233,0.0218252766343488,0.8150267245399432,0.7702496681852423,0.8289360404634645,0.811547153567457,0.7823026150590093
VarianceThreshold,{'threshold': 0.8},No feature selection,4519.0,0.0,0.8088998098791119,0.0116136618060664,0.8083904293862323,0.8205868637227822,0.7943734978656241,0.8232413817842665,0.7979068766366538
VarianceThreshold,{'threshold': 0.8},All Features,230.0,0.0,0.7982530401406176,0.0091121504663003,0.8032069447931988,0.8056372636940847,0.8054489363991821,0.7953241023065609,0.781647953510062
VarianceThreshold,{'threshold': 0.8},Fingerprints,230.0,0.0,0.7998565125372171,0.0083108784295937,0.7955034616350397,0.8139057287369516,0.797090791692076,0.8033683681888295,0.7894142124331887
