Approach,Params,Selected_Features,Avg_n_features,Std_n_features,Avg_AUC,Std_AUC,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5
VarianceThreshold,{'threshold': 0.0},No feature selection,4519.0,0.0,0.7195860386698711,0.0086229962653271,0.7218316174624242,0.7209348208200308,0.7297772357140295,0.7035818057897191,0.7218047135631525
VarianceThreshold,{'threshold': 0.0},All Features,2407.769230769231,23.563837503043143,0.7211787495067619,0.0072502343058945,0.7159217275890519,0.7177422247731104,0.7282706173548086,0.7312479822075546,0.7127111956092836
VarianceThreshold,{'threshold': 0.0},Fingerprints,2407.769230769231,23.563837503043143,0.7212540804247229,0.0066773254632198,0.7212845715105642,0.7223338235821646,0.7095275675287871,0.7302973777666177,0.722827061735481
VarianceThreshold,{'threshold': 0.1},No feature selection,4519.0,0.0,0.7138698568712559,0.0074066203953552,0.7196524016214083,0.7138052875130037,0.7238673458406572,0.703061663737131,0.7089625856440793
VarianceThreshold,{'threshold': 0.1},All Features,506.9230769230769,9.235896012186853,0.687896832514259,0.0147883990630656,0.69453312766797,0.6654858844208487,0.685062955124296,0.6836729203285863,0.7107292750295943
VarianceThreshold,{'threshold': 0.1},Fingerprints,506.9230769230769,9.235896012186853,0.6946120457725007,0.0088025885640529,0.6865157656849733,0.7107382429960183,0.6916544104458873,0.696559888079779,0.6875919216558454
VarianceThreshold,{'threshold': 0.2},No feature selection,4519.0,0.0,0.7136008178785378,0.0105821766683039,0.6972055816623023,0.7051511999139075,0.722387631380708,0.7242350324640385,0.7190246439717329
VarianceThreshold,{'threshold': 0.2},All Features,300.15384615384613,0.9483713850721502,0.6764608817304587,0.009985575745588,0.6622843204075043,0.669781540337913,0.6770545611077232,0.6817268716145926,0.6914571151845607
VarianceThreshold,{'threshold': 0.2},Fingerprints,300.15384615384613,0.9483713850721502,0.6733579653477777,0.0033245324430455,0.6773415360332891,0.6676381963625928,0.6757631739426768,0.6736018940345088,0.6724450263658213
VarianceThreshold,{'threshold': 0.30000000000000004},No feature selection,4519.0,0.0,0.7216558453205151,0.0101636042639836,0.736332819169925,0.7051960397460271,0.7188094127775586,0.721589482368978,0.7263514725400868
VarianceThreshold,{'threshold': 0.30000000000000004},All Features,252.46153846153845,0.9294650748918902,0.6755730530544893,0.0091031589788396,0.6920848728342361,0.6669207590486781,0.6674050292355707,0.6759156293718837,0.6755389747820784
VarianceThreshold,{'threshold': 0.30000000000000004},Fingerprints,252.46153846153845,0.9294650748918902,0.6736144491875022,0.010650449353013,0.6767765541485813,0.6656562757829034,0.6878788965814112,0.6799601822290777,0.6578003371955375
VarianceThreshold,{'threshold': 0.4},No feature selection,4519.0,0.0,0.7042077698461098,0.0201398678954137,0.7174462818811207,0.7193474907629946,0.6678354916239193,0.6966136958783226,0.7197958890841913
VarianceThreshold,{'threshold': 0.4},All Features,244.92307692307693,1.63902121174327,0.6790813215195322,0.0084753745089552,0.682614700290562,0.688049287943466,0.6664095849625139,0.686435053987158,0.6718979804139613
VarianceThreshold,{'threshold': 0.4},Fingerprints,244.92307692307693,1.63902121174327,0.6666409584962514,0.0108085113091996,0.6682569860458443,0.6526078846360799,0.681412992789755,0.6564192703662517,0.6745076586433261
VarianceThreshold,{'threshold': 0.5},No feature selection,4519.0,0.0,0.7183197618108117,0.0182747631088348,0.68587007210245,0.7120116942282169,0.7293378053592567,0.7262348889765757,0.7381443483875596
VarianceThreshold,{'threshold': 0.5},All Features,240.53846153846155,2.061194001072964,0.6826487785629731,0.0031400865414093,0.6782383326756825,0.684937403594361,0.6852871542848944,0.6853499300498619,0.6794310722100656
VarianceThreshold,{'threshold': 0.5},Fingerprints,240.6153846153846,2.020603928702107,0.6749991032033575,0.008872145473847,0.6835025289665315,0.6739875165907379,0.6603382716935108,0.6722746350037665,0.6848925637622412
VarianceThreshold,{'threshold': 0.6000000000000001},No feature selection,4519.0,0.0,0.7090737884277362,0.0081814529136265,0.7128815869713384,0.7231499085267425,0.6999049395559063,0.7047028015927108,0.7047297054919825
VarianceThreshold,{'threshold': 0.6000000000000001},All Features,234.0,1.9611613513818404,0.67645012017075,0.0140575951376007,0.695618251605266,0.6539889514653657,0.6689116475947914,0.68128744125982,0.6824443089285075
VarianceThreshold,{'threshold': 0.6000000000000001},Fingerprints,234.07692307692307,1.939926186602845,0.6844746565268861,0.0122552195926253,0.6776733507909746,0.666266097499731,0.6886860135595654,0.7032141191663379,0.686533701617821
VarianceThreshold,{'threshold': 0.7000000000000001},No feature selection,4519.0,0.0,0.7078272410948093,0.0087863128267879,0.7183341105570901,0.7156885604620297,0.7079940452702945,0.7031423754349464,0.6939771137496862
VarianceThreshold,{'threshold': 0.7000000000000001},All Features,231.3846153846154,1.862110528755416,0.6787369516088531,0.006712146586578,0.668956487426911,0.6723105068694624,0.68343078523514,0.6844800373067403,0.6845069412060121
VarianceThreshold,{'threshold': 0.7000000000000001},Fingerprints,231.46153846153845,1.7808979850446498,0.6758654087599095,0.0099294749779357,0.6769648814434839,0.6762474441295692,0.6723553467015819,0.6923270079276824,0.6614323635972307
VarianceThreshold,{'threshold': 0.8},No feature selection,4519.0,0.0,0.7190210567851634,0.0126815398994176,0.7245578792553001,0.7030795996699788,0.7404132438928148,0.7143433654984397,0.7127111956092836
VarianceThreshold,{'threshold': 0.8},All Features,228.53846153846155,1.5988161300635788,0.6886393801341608,0.0024462560994785,0.68751120995803,0.6925153352225849,0.6853050902177422,0.6900132725903074,0.6878519926821394
