Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
GLYCINE_HYDROCHLORIDE	Error									
DIHYDROXYALUMINUM_AMINOACETATE	Error									
LYSINE	NCCCCC(N)C(=O)O	C6H14N2O2	16.77	7.19	14.28	9	9.1	146.2	1.079	135.5
LYSINE_MONOHYDRATE	Error									
ETHYLENEDIAMINE	NCCN	C2H8N2	17.72	7.6	15.87	9.1	13.8	60.1	0.877	68.6
ETHYLENEDIAMINE_DIHYDROCHLORIDE	Error									
MONOETHANOLAMINE	NCCO	C2H7NO	17.75	10.32	21.3	14.5	15.2	61.1	0.979	62.4
GENTISIC_ACID_ETHANOLAMINE	Error									
ETHANOLAMINE_HYDROCHLORIDE	Error									
Sulfamic_acid_(packaging)	NS(=O)(=O)O	H3NO3S	20.75	23.6	30.87	23.6	23.8	97.1	1.768	54.9
MAGNESIUM_ASPARTATE	Error									
Monopotassium_L-glutamate	Error									
MONOSODIUM_GLUTAMATE	Error									
CYSTEINE_HYDROCHLORIDE	Error									
CYSTEINE_HYDROCHLORIDE_ANHYDROUS	Error									
NAPHTHOL_BLUE_BLACK	Error									
AMINOBENZOATE_SODIUM	Error									
1-(PHENYLAZO)-2-NAPHTHYLAMINE	Nc1ccc2ccccc2c1N=Nc1ccccc1	C16H13N3	20.59	3.86	6.98	4.5	6.1	247.3	1.136	217.6
AIR	Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O	C8H14N3O7P	20.49	18.33	31.42	16.1	22.2	295.2	1.499	197
ALUMINUM_SULFATE_TETRADECAHYDRATE	Error									
"SODIUM_PHOSPHATE,_DIBASIC_DODECAHYDRATE"	Error									
Aluminum_potassium_sulfate	Error									
Aluminum_ammonium_sulfate	Error									
Aluminum_sodium_sulfate	Error									
SODIUM_BORATE	Error									
SODIUM_CARBONATE_DECAHYDRATE	Error									
Sodium_phosphate_tribasic	Error									
SODIUM_SULFATE	Error									
"SODIUM_PHOSPHATE,_DIBASIC,_HEPTAHYDRATE"	Error									
Magnesium_sulfate	Error									
Zinc_sulfate	Error									
Sodium_sulfite	Error									
SODIUM_SUCCINATE_HEXAHYDRATE	Error									
MAGNESIUM_CHLORIDE	Error									
"MAGNESIUM_PHOSPHATE,_TRIBASIC,_PENTAHYDRATE"	Error									
CUPRIC_SULFATE	Error									
Sodium_thiosulfate	Error									
CALCIUM_CITRATE	Error									
"Magnesium_phosphate,_dibasic"	Error									
TRISODIUM_CITRATE_DIHYDRATE	Error									
EDETATE_DISODIUM	Error									
Ferrous_gluconate	Error									
SACCHARIN_SODIUM	Error									
Calcium_L-ascorbate	Error									
DIBASIC_CALCIUM_PHOSPHATE_DIHYDRATE	Error									
"SODIUM_PHOSPHATE,_DIBASIC_DIHYDRATE"	Error									
SODIUM_PHOSPHATE_DIHYDRATE	Error									
CALCIUM_CYCLAMATE	Error									
CALCIUM_SULFATE_DIHYDRATE	Error									
Calcium_chloride	Error									
STANNOUS_CHLORIDE	Error									
CITRIC_ACID_MONOHYDRATE	Error									
POTASSIUM_CITRATE	Error									
SODIUM_CARBONATE_MONOHYDRATE	Error									
FD&C_RED_NO._3	Error									
SACCHARIN_CALCIUM	Error									
DEXTROSE_MONOHYDRATE	Error									
"SODIUM_PHOSPHATE,_MONOBASIC,_MONOHYDRATE"	Error									
Sodium_phosphate_dibasic	Error									
Calcium_phosphate_monobasic	Error									
Sodium_hypophosphite	Error									
CALCIUM_SULFATE_HEMIHYDRATE	Error									
ZINC_SULFATE_MONOHYDRATE	Error									
Bentonite	Error									
LACTOSE_MONOHYDRATE	Error									
Ferric_oxide_(packaging)	Error									
MAGNESIUM_TRISILICATE	Error									
FRUCTOSE	O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO	C6H12O6	18.01	13.55	25.92	18.2	20	180.2	1.245	144.8
GENTISIC_ACID_ETHANOLAMIDE	O=C(NCCO)c1cc(O)ccc1O	C9H11NO4	20.5	15.04	19.66	17.3	12.8	197.2	1.381	142.8
IMIDUREA	O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO	C11H16N8O8	20.22	25.09	21.06	17.2	14.4	388.3	1.635	237.6
DIAZOLIDINYL_UREA	O=C(NCO)N(CO)C1(CO)C(=O)NC(=O)N1CO	C8H14N4O7	19.28	22.88	20.78	11.1	20.1	278.2	1.616	172.1
MALEIC_ACID	C(=C\C(=O)O)\C(=O)O	C4H4O4	18.16	10.78	23.02	18.8	13.2	116.1	1.352	85.8
TRIFLUOROACETIC_ACID	O=C(O)C(F)(F)F	C2HF3O2	15.23	8.35	11.42	12.7	8.5	114	1.486	76.7
L(+)-tartaric_acid	O=C(O)C(O)C(O)C(=O)O	C4H6O6	17.81	14.02	29.21	22	19.1	150.1	1.568	95.7
SUCCIMER	O=C(O)C(S)C(S)C(=O)O	C4H6O4S2	18.36	11.27	21.49	35.4	14.3	182.2	1.505	121.1
PROLINE	O=C(O)C1CCCN1	C5H9NO2	17.81	8.71	14.5	11.5	8.9	115.1	1.129	102
Aconitic_Acid	O=C(O)C=C(CC(=O)O)C(=O)O	C6H6O6	17.85	10.95	24.82	19.4	14	174.1	1.476	117.9
Citric_acid	O=C(O)CC(O)(CC(=O)O)C(=O)O	C6H8O7	17.6	11.36	25.98	22.3	15.3	192.1	1.566	122.7
MAGNESIUM_CITRATE	Error									
Ferrous_citrate	Error									
MONOSODIUM_CITRATE	Error									
