Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
DB00150	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	C11H12N2O2	19.55	8.26	12.96	11.2	8.3	204.2	1.276	160
DB00151	N[C@@H](CS)C(O)=O	C3H7NO2S	17.76	9.53	18.18	25.4	12.5	121.2	1.283	94.5
DB00152	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	C12H17N4OS	19.11	9.26	11.68	6	10	265.4	1.217	218
DB00153	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	C28H44O	17.37	1.58	4.08	2.8	3.8	396.6	0.951	417.1
DB00154	CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O	C20H34O2	16.9	2.82	5.88	4.3	4.3	306.5	0.909	337.2
DB00155	N[C@@H](CCCNC(N)=O)C(O)=O	C6H13N3O3	17.92	14.51	17.56	11.6	11	175.2	1.282	136.7
DB00156	C[C@@H](O)[C@H](N)C(O)=O	C4H9NO3	17.49	9.91	21.19	13.4	14	119.1	1.243	95.9
DB00158	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	C19H19N7O6	19.89	17.84	13.86	11.1	7.8	441.4	1.541	286.5
DB00159	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	C20H30O2	17.35	3.19	6.02	4.6	4.7	302.4	0.938	322.6
DB00160	C[C@H](N)C(O)=O	C3H7NO2	16.83	8.82	18	12.7	11.7	89.1	1.102	80.8
DB00161	CC(C)[C@H](N)C(O)=O	C5H11NO2	16.27	6.79	12.79	9.9	8.5	117.1	1.008	116.2
DB00162	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C	C20H30O	17.4	2.15	4.63	3.7	3.6	286.4	0.942	304
DB00163	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C	C29H50O2	16.86	1.53	3.59	1.6	2.4	430.7	0.928	464.3
DB00165	CC1=C(O)C(CO)=C(CO)C=N1	C8H11NO3	19.2	10.82	19.44	14.8	14.8	169.2	1.26	134.3
DB00166	OC(=O)CCCCC1CCSS1	C8H14O2S2	17.88	7.53	9.91	6.3	7.1	206.3	1.209	170.6
DB00167	CC[C@H](C)[C@H](N)C(O)=O	C6H13NO2	16.3	5.87	13	9.4	8.3	131.2	0.983	133.4
DB00168	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O	C14H18N2O5	18.51	10.27	12.2	8.2	8.9	294.3	1.266	232.5
DB00169	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	C27H44O	17.14	1.88	4.43	2.8	3.9	384.6	0.945	406.8
DB00170	CC1=CC(=O)C2=CC=CC=C2C1=O	C11H8O2	20.01	12.31	6.2	2.4	5.1	172.2	1.294	133
DB00171	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	C10H16N5O13P3	23.72	29.84	41.07	21	25.3	507.2	1.819	278.9
DB00172	OC(=O)[C@@H]1CCCN1	C5H9NO2	17.81	8.71	14.5	11.5	8.9	115.1	1.129	102
DB00173	NC1=C2NC=NC2=NC=N1	C5H5N5	21.34	16.37	15.58	11	9.3	135.1	1.457	92.7
DB00174	N[C@@H](CC(N)=O)C(O)=O	C4H8N2O3	17.97	15.84	21.72	15.1	13.5	132.1	1.332	99.2
DB00175	[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC	C23H36O7	17.2	4.52	9.23	7.6	9	424.5	1.1	386.1
DB00176	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F	C15H21F3N2O2	16.11	5.62	2.98	1.3	2.4	318.3	1.135	280.4
DB00177	CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O	C24H29N5O3	19.29	9.68	4.96	4.5	3	435.5	1.171	372
DB00178	[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC	C23H32N2O5	17.49	7	6.93	5.7	6.1	416.5	1.186	351.3
DB00179	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1	C18H22O4	19.87	5.14	8.05	9	3.5	302.4	1.167	259
DB00180	[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO	C24H31FO6	18.45	8.11	6.42	5.2	5.4	434.5	1.265	343.4
DB00181	NCC(CC(O)=O)C1=CC=C(Cl)C=C1	C10H12ClNO2	18.89	6.63	11.14	8.1	7.2	213.7	1.247	171.3
DB00182	CC(N)CC1=CC=CC=C1	C9H13N	17.96	3.53	5.68	3.3	4.7	135.2	0.945	143.1
